id_store_bank;tx_createdate;tx_status;tx_company_code;tx_gl_account;tx_store_bank_code;tx_store_code
208;2023-07-16 13:00:39;CREATED;AZALEIA;1013193;CAJA TDA M.PLAZ.TRUJ.OLY - CULQUI;ST062
209;2023-07-16 13:00:39;CREATED;AZALEIA;1013194;CAJA TDA M.PLAZ.TRUJ.OLY - AMEX;ST062
210;2023-07-16 13:00:39;CREATED;AZALEIA;1013195;CAJA TDA M.PLAZ.TRUJ.OLY - DINERS;ST062
211;2023-07-16 13:00:39;CREATED;AZALEIA;1013196;CAJA TDA MEGA PLAZA OLY. - NIUBIZ;ST007
212;2023-07-16 13:00:39;CREATED;AZALEIA;1013197;CAJA TDA MEGA PLAZA OLY. - IZIPAY;ST007
213;2023-07-16 13:00:39;CREATED;AZALEIA;1013198;CAJA TDA MEGA PLAZA OLY. - CULQUI;ST007
214;2023-07-16 13:00:39;CREATED;AZALEIA;1013199;CAJA TDA MEGA PLAZA OLY. - AMEX;ST007
215;2023-07-16 13:00:39;CREATED;AZALEIA;1013200;CAJA TDA MEGA PLAZA OLY. - DINERS;ST007
216;2023-07-16 13:00:39;CREATED;AZALEIA;1013201;CAJA TDA MEGA PLAZA AZA. - NIUBIZ;ST008
217;2023-07-16 13:00:39;CREATED;AZALEIA;1013202;CAJA TDA MEGA PLAZA AZA. - IZIPAY;ST008
218;2023-07-16 13:00:39;CREATED;AZALEIA;1013203;CAJA TDA MEGA PLAZA AZA. - CULQUI;ST008
219;2023-07-16 13:00:39;CREATED;AZALEIA;1013204;CAJA TDA MEGA PLAZA AZA. - AMEX;ST008
220;2023-07-16 13:00:39;CREATED;AZALEIA;1013205;CAJA TDA MEGA PLAZA AZA. - DINERS;ST008
221;2023-07-16 13:00:39;CREATED;AZALEIA;1013206;CAJA TDA C.C SAN MIGUEL - NIUBIZ;ST016
222;2023-07-16 13:00:39;CREATED;AZALEIA;1013207;CAJA TDA C.C SAN MIGUEL - IZIPAY;ST016
223;2023-07-16 13:00:39;CREATED;AZALEIA;1013208;CAJA TDA C.C SAN MIGUEL - CULQI;ST016
224;2023-07-16 13:00:39;CREATED;AZALEIA;1013209;CAJA TDA C.C SAN MIGUEL - AMEX;ST016
225;2023-07-16 13:00:39;CREATED;AZALEIA;1013210;CAJA TDA C.C SAN MIGUEL - DINERS;ST016
